R: 9.40 G: 3.70	f_min: 1.84256e+09	f_max: 1.26096e+10	f_max - f_min: 1.07670e+10
R: 9.45 G: 3.70	f_min: 1.85962e+09	f_max: 1.25516e+10	f_max - f_min: 1.06920e+10
R: 9.50 G: 3.70	f_min: 1.87683e+09	f_max: 1.24939e+10	f_max - f_min: 1.06171e+10
R: 9.55 G: 3.70	f_min: 1.89857e+09	f_max: 1.24079e+10	f_max - f_min: 1.05093e+10
R: 9.60 G: 3.70	f_min: 1.92056e+09	f_max: 1.23509e+10	f_max - f_min: 1.04303e+10
R: 9.65 G: 3.70	f_min: 1.94281e+09	f_max: 1.22658e+10	f_max - f_min: 1.03230e+10
R: 9.65 G: 3.75	f_min: 1.79233e+09	f_max: 1.34806e+10	f_max - f_min: 1.16883e+10
R: 9.70 G: 3.75	f_min: 1.80476e+09	f_max: 1.34496e+10	f_max - f_min: 1.16448e+10
R: 9.75 G: 3.75	f_min: 1.82146e+09	f_max: 1.33878e+10	f_max - f_min: 1.15663e+10
R: 9.80 G: 3.75	f_min: 1.83832e+09	f_max: 1.33570e+10	f_max - f_min: 1.15187e+10
R: 9.85 G: 3.75	f_min: 1.85534e+09	f_max: 1.32956e+10	f_max - f_min: 1.14403e+10
R: 9.90 G: 3.75	f_min: 1.87251e+09	f_max: 1.32345e+10	f_max - f_min: 1.13620e+10
R: 10.00 G: 3.80	f_min: 1.77181e+09	f_max: 1.43126e+10	f_max - f_min: 1.25408e+10
R: 10.05 G: 3.80	f_min: 1.78409e+09	f_max: 1.42797e+10	f_max - f_min: 1.24956e+10
R: 10.10 G: 3.80	f_min: 1.80061e+09	f_max: 1.42468e+10	f_max - f_min: 1.24462e+10
R: 10.15 G: 3.80	f_min: 1.81309e+09	f_max: 1.41813e+10	f_max - f_min: 1.23682e+10
R: 10.20 G: 3.80	f_min: 1.82987e+09	f_max: 1.41487e+10	f_max - f_min: 1.23188e+10
R: 10.40 G: 3.85	f_min: 1.76366e+09	f_max: 1.51610e+10	f_max - f_min: 1.33973e+10
R: 10.45 G: 3.85	f_min: 1.77589e+09	f_max: 1.51261e+10	f_max - f_min: 1.33502e+10
R: 10.50 G: 3.85	f_min: 1.78821e+09	f_max: 1.50913e+10	f_max - f_min: 1.33031e+10
R: 10.75 G: 3.90	f_min: 1.73946e+09	f_max: 1.60967e+10	f_max - f_min: 1.43572e+10
